,obj,label,set,item_in_set,item_num,concept,listnum,top5,top_ans,mass_ans,true_mass,false_mass
0,"circle,green,2",False,0,0,0,hg87,2,"[' True', ' False', 'True', '  ', ' true']", True,True,-18.578125,-22.484375
1,"triangle,yellow,2",False,0,1,1,hg87,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-20.734375,-22.1328125
2,"triangle,green,3",False,0,2,2,hg87,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-19.71875,-23.5625
3,"rectangle,blue,3",True,0,3,3,hg87,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-25.546875,-25.671875
4,"circle,green,3",False,0,4,4,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-18.015625,-20.9921875
5,"rectangle,blue,1",True,1,0,5,hg87,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-29.21875,-28.0390625
6,"rectangle,green,3",True,1,1,6,hg87,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-22.3359375,-20.078125
7,"triangle,yellow,2",False,1,2,7,hg87,2,"[' False', 'False', ' True', ' false', '  ']", False,False,-31.2890625,-23.359375
8,"triangle,green,3",False,1,3,8,hg87,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-22.1171875,-23.125
9,"rectangle,green,3",False,2,0,9,hg87,2,"[' True', ' False', 'True', '  ', 'False']", True,True,-22.5625,-26.359375
10,"circle,blue,2",True,2,1,10,hg87,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-32.5078125,-34.546875
11,"rectangle,yellow,2",False,3,0,11,hg87,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-27.1171875,-25.3203125
12,"circle,blue,3",True,3,1,12,hg87,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-30.9140625,-35.0703125
13,"rectangle,green,1",False,4,0,13,hg87,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-27.40625,-26.75
14,"circle,green,2",False,4,1,14,hg87,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-22.21875,-23.90625
15,"triangle,blue,1",True,4,2,15,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-24.234375,-27.4140625
16,"rectangle,blue,3",True,5,0,16,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-24.765625,-27.1796875
17,"rectangle,yellow,2",True,5,1,17,hg87,2,"[' False', ' True', 'False', ' false', '  ']", False,False,-25.0,-20.25
18,"circle,green,3",False,5,2,18,hg87,2,"[' False', 'False', ' True', ' false', '  ']", False,False,-27.6328125,-20.65625
19,"circle,green,2",False,6,0,19,hg87,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-22.359375,-22.796875
20,"rectangle,green,3",False,6,1,20,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-17.96875,-19.6796875
21,"circle,yellow,2",False,6,2,21,hg87,2,"[' True', ' False', 'False', 'True', ' false']", True,True,-18.484375,-18.5
22,"triangle,green,1",False,6,3,22,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-22.234375,-23.5546875
