,obj,label,set,item_in_set,item_num,concept,listnum,top5,top_ans,mass_ans,true_mass,false_mass
0,"circle,green,2",False,0,0,0,hg58,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-44.28125,-44.3828125
1,"triangle,yellow,1",False,1,0,1,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-42.33203125,-41.376953125
2,"triangle,green,1",False,1,1,2,hg58,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-42.578125,-42.90625
3,"rectangle,blue,1",True,2,0,3,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-42.48828125,-40.748046875
4,"rectangle,blue,2",True,2,1,4,hg58,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-38.453125,-38.8046875
5,"triangle,green,3",False,3,0,5,hg58,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-37.859375,-38.0
6,"rectangle,yellow,2",False,3,1,6,hg58,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-39.12890625,-37.7685546875
7,"triangle,green,1",False,3,2,7,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-41.94140625,-40.68359375
8,"triangle,yellow,2",False,3,3,8,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-41.77734375,-40.341796875
9,"triangle,yellow,3",False,3,4,9,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-41.107421875,-40.26171875
10,"triangle,yellow,2",False,4,0,10,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-40.47265625,-39.400390625
11,"rectangle,blue,2",True,4,1,11,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-41.04296875,-39.224609375
12,"triangle,green,2",False,4,2,12,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-40.0703125,-39.3203125
13,"circle,yellow,2",False,4,3,13,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-44.2265625,-42.921875
14,"circle,green,3",True,5,0,14,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-39.69921875,-38.595703125
15,"rectangle,yellow,2",False,5,1,15,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-40.29296875,-39.71484375
16,"circle,blue,2",True,5,2,16,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-44.25390625,-43.08203125
17,"circle,blue,3",True,6,0,17,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-41.9609375,-41.5859375
18,"rectangle,blue,2",True,7,0,18,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-35.876953125,-35.5390625
19,"triangle,yellow,3",False,7,1,19,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-42.203125,-40.74609375
20,"rectangle,blue,3",True,7,2,20,hg58,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-41.203125,-42.20703125
21,"triangle,blue,2",False,8,0,21,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-39.86328125,-38.43359375
22,"rectangle,blue,3",True,8,1,22,hg58,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-36.849609375,-36.966796875
23,"triangle,green,3",False,8,2,23,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-40.4765625,-38.669921875
24,"circle,blue,2",False,8,3,24,hg58,2,"[' False', ' True', 'False', 'True', ' None']", False,False,-42.8046875,-41.84765625
25,"circle,blue,3",True,9,0,25,hg58,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-36.326171875,-36.9296875
26,"rectangle,yellow,1",True,9,1,26,hg58,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-42.953125,-40.62890625
27,"rectangle,blue,3",True,9,2,27,hg58,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-37.326171875,-38.85546875
28,"circle,blue,2",True,9,3,28,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-40.5234375,-40.234375
29,"circle,green,3",True,9,4,29,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-42.46484375,-41.33984375
30,"triangle,blue,1",True,10,0,30,hg58,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-42.859375,-41.19140625
