,concept_num,concept,ptg16_rule_expression,ptg_16_full_coverage_manual_code,gpt4_rule_expression,gpt4_full_coverage_manual_code,chance
131,hg53,the unique object that is (blue and circle),larger than itself,0.9692307692307692,small and blue and circle,0.9846153846153848,0.9403550295857988
135,hg54,(blue or circle) and no other object is (blue or circle),larger than itself,0.9777777777777776,small and blue and triangle,0.9777777777777776,0.9565432098765432
129,hg52,(blue or green) and no other object is blue or green,larger than itself,0.9746835443037974,small and blue and circle,0.9620253164556962,0.9506489344656304
66,hg34,blue or (larger or equal in size to all other objects),large or blue,0.9130434782608696,large or blue,0.9130434782608696,0.5555555555555556
158,hg62,blue and same shape as another object,large and blue,0.8947368421052632,(blue and large and not triangle) or (blue and triangle and not large),0.9078947368421052,0.7340720221606647
91,hg41,green or same shape as a blue object,not yellow,0.8904109589041096,not (small and yellow and circle) and not (large and yellow),0.9041095890410958,0.7072621504972789
84,hg39,same shape as a blue or green object,same color as itself,0.868421052631579,(blue or green) or (yellow and not ((large and circle) or (medium and rectangle))) or (small and yellow and not triangle) or ((triangle or circle) and not (large and yellow)) or (rectangle and not (medium and yellow)),0.8947368421052632,0.7714681440443214
103,hg46,(same shape as one of the largest) and blue,large and blue,0.8837209302325582,blue and (triangle or rectangle),0.872093023255814,0.5976203353163871
124,hg51,unique circle,larger than itself,0.8860759493670886,circle and not blue,0.8607594936708861,0.7981092773593976
228,hg93,the unique element and is (blue or circle),larger than itself,0.9367088607594936,large and blue and not rectangle,0.8481012658227848,0.8814292581317096
148,hg58,same shape as one of the largest and blue,(not green) and (not yellow),0.8472222222222222,blue and (circle or rectangle),0.8472222222222222,0.5096450617283951
55,hg30,unique largest and blue,larger than itself,0.8888888888888888,medium and blue,0.8472222222222222,0.8024691358024691
25,hg109,all objects of the same shape are blue,larger than itself,0.8205128205128205,(medium and blue) or ((triangle or rectangle) and blue),0.8461538461538461,0.7054569362261669
60,hg31,blue or larger than all other objects,(not green) and (not yellow),0.926829268292683,blue and (triangle or rectangle),0.8292682926829268,0.5190362879238548
113,hg48,same shape as one of the unique largest that is not itself,larger than itself,0.9104477611940298,medium and (same color as last `True’ object) and (different shape than last `True’ object),0.8208955223880597,0.8369347293383826
227,hg92,unique blue object,larger than itself,0.8589743589743589,small and blue and (rectangle or triangle),0.8205128205128205,0.7577251808021039
28,hg110,at least one other object of the same shape is blue,larger than itself,0.875,((group does not contain medium blue rectangle) and ((small green triangle) or (small blue rectangle) or (large yellow circle))) or ((group does contain medium blue rectangle) and (group has two objects)),0.8194444444444444,0.78125
213,hg88,same size as a circular object,same size as a circular object,0.4204545454545454,small or circle,0.7954545454545454,0.512654958677686
93,hg42,green and same shape as a blue object,larger than itself,0.8554216867469879,green and (circle or triangle),0.7951807228915663,0.752649150820148
52,hg29,larger than all other objects,strictly larger than all other objects,1.0,(large and yellow) or ((rectangle and blue) or (rectangle and yellow)),0.7948717948717948,0.6591058514135437
87,hg40,(not blue) and same shape as a blue object,larger than itself,0.7468354430379747,((small and circle) or (small and rectangle)) and (green or yellow),0.7848101265822784,0.6218554718795064
142,hg56,unique largest (blue or green) object,same color as (the unique object that is ((not yellow) and (not smaller than this object))),0.8235294117647058,(medium and blue and circle) or \ (small and green and circle) or \ (large and green and circle) or \ (large and blue and triangle) or \ (small and blue and triangle) or \ (small and green and rectangle) or \ (medium and green and rectangle) or \ (medium and blue and rectangle) or \ (medium and green and triangle),0.7794117647058824,0.6107266435986161
76,hg36,larger than a blue object,larger than a blue object,1.0,large and (blue or yellow),0.7777777777777778,0.6392746913580246
