,obj,label,set,item_in_set,item_num,concept,listnum,top5,top_ans,mass_ans,true_mass,false_mass
0,"triangle,yellow,1",False,0,0,0,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,22.6689453125,23.1533203125
1,"circle,green,1",False,0,1,1,hg03,2,"['False', 'True', 'True', 'False', 'Tr']",False,False,23.9501953125,24.3408203125
2,"circle,green,2",False,0,2,2,hg03,2,"['True', 'False', 'True', 'False', 'Tr']",True,True,24.06982421875,24.03857421875
3,"triangle,blue,1",True,0,3,3,hg03,2,"['False', 'True', 'False', 'True', 'Tr']",False,False,24.95068359375,25.54443359375
4,"triangle,blue,2",True,0,4,4,hg03,2,"['True', 'False', 'True', 'False', 'Tr']",True,True,24.5517578125,23.3486328125
5,"triangle,blue,3",True,1,0,5,hg03,2,"['True', 'False', 'True', 'False', 'Tr']",True,True,21.341796875,21.263671875
6,"triangle,yellow,1",False,2,0,6,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,22.001953125,22.830078125
7,"rectangle,green,2",False,2,1,7,hg03,2,"['False', 'True', 'False', 'True', 'Tr']",False,False,24.2685546875,24.8154296875
8,"circle,blue,2",True,2,2,8,hg03,2,"['False', 'True', 'True', 'False', 'Tr']",False,False,24.6044921875,24.6982421875
9,"triangle,blue,2",True,2,3,9,hg03,2,"['True', 'False', 'True', 'False', 'Tr']",True,True,24.236328125,23.080078125
10,"triangle,green,1",False,3,0,10,hg03,2,"['False', 'True', 'True', 'False', '']",False,False,22.95703125,23.31640625
11,"rectangle,yellow,2",False,4,0,11,hg03,2,"['False', 'True', 'False', 'True', '']",False,False,22.89453125,23.59765625
12,"rectangle,blue,3",True,4,1,12,hg03,2,"['True', 'False', 'True', 'False', 'Tr']",True,True,25.3291015625,25.1728515625
13,"triangle,green,2",False,4,2,13,hg03,2,"['False', 'True', 'True', 'False', 'Tr']",False,False,25.37158203125,25.40283203125
14,"circle,green,1",False,4,3,14,hg03,2,"['False', 'True', 'False', 'True', '']",False,False,24.9892578125,25.8798828125
15,"circle,yellow,2",False,5,0,15,hg03,2,"['False', 'True', 'False', 'True', '']",False,False,23.4833984375,24.5615234375
16,"rectangle,yellow,3",False,5,1,16,hg03,2,"['False', 'True', 'False', 'True', '']",False,False,25.40869140625,25.79931640625
17,"circle,blue,2",True,5,2,17,hg03,2,"['True', 'False', 'True', 'False', 'Tr']",True,True,25.5771484375,25.2490234375
18,"triangle,green,1",False,5,3,18,hg03,2,"['False', 'True', 'False', 'True', '']",False,False,24.42578125,26.41015625
19,"triangle,blue,2",True,6,0,19,hg03,2,"['False', 'True', 'False', 'True', '']",False,False,23.658203125,23.970703125
20,"rectangle,green,3",False,6,1,20,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,25.3125,26.21875
21,"circle,green,2",False,6,2,21,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,25.3115234375,26.1552734375
22,"triangle,yellow,1",False,7,0,22,hg03,2,"['False', 'True', 'False', 'True', '']",False,False,22.5966796875,24.5185546875
23,"triangle,green,2",False,7,1,23,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,25.843704223632812,26.937454223632812
24,"circle,yellow,2",False,7,2,24,hg03,2,"['False', 'True', 'False', 'True', '']",False,False,25.0751953125,26.4501953125
25,"circle,green,2",False,7,3,25,hg03,2,"['False', 'True', 'False', 'True', '']",False,False,24.43359375,25.52734375
26,"rectangle,green,1",False,8,0,26,hg03,2,"['False', 'True', 'False', 'True', '']",False,False,21.484375,23.734375
27,"triangle,blue,3",True,9,0,27,hg03,2,"['True', 'False', 'True', 'False', 'Tr']",True,True,23.583984375,22.927734375
28,"triangle,green,3",False,9,1,28,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,25.83349609375,26.30224609375
29,"circle,green,3",False,9,2,29,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,26.0701904296875,26.9920654296875
30,"rectangle,green,1",False,9,3,30,hg03,2,"['False', 'True', 'False', '', 'false']",False,False,23.7060546875,26.5185546875
31,"rectangle,yellow,1",False,10,0,31,hg03,2,"['False', 'True', 'False', '', 'false']",False,False,19.619140625,22.806640625
32,"circle,blue,3",True,11,0,32,hg03,2,"['False', 'True', 'True', 'False', '']",False,False,22.572265625,22.791015625
33,"circle,yellow,2",False,11,1,33,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,25.388671875,26.654296875
34,"triangle,green,3",False,11,2,34,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,26.112106323242188,27.627731323242188
35,"circle,green,2",False,11,3,35,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,25.29248046875,27.21435546875
36,"triangle,blue,1",True,11,4,36,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,24.9765625,26.8984375
37,"triangle,blue,3",True,12,0,37,hg03,2,"['True', 'False', 'True', 'False', 'Tr']",True,True,23.08203125,22.05078125
38,"rectangle,yellow,2",False,12,1,38,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,25.440673828125,26.862548828125
39,"rectangle,blue,2",True,12,2,39,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,25.86376953125,26.37939453125
40,"rectangle,blue,3",True,12,3,40,hg03,2,"['True', 'False', 'True', 'False', 'Tr']",True,True,25.4375,25.078125
41,"circle,yellow,2",False,12,4,41,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,25.487548828125,27.628173828125
42,"rectangle,green,1",False,13,0,42,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,22.205078125,24.564453125
43,"circle,green,1",False,13,1,43,hg03,2,"['False', 'True', 'False', 'false', 'True']",False,False,25.33251953125,27.58251953125
44,"rectangle,yellow,3",False,13,2,44,hg03,2,"['False', 'True', 'False', 'false', 'True']",False,False,25.79168701171875,28.11981201171875
45,"circle,blue,3",True,13,3,45,hg03,2,"['False', 'True', 'False', 'True', 'Tr']",False,False,27.012977600097656,27.325477600097656
46,"rectangle,blue,2",True,14,0,46,hg03,2,"['True', 'False', 'True', 'False', 'false']",True,True,23.39453125,22.98828125
47,"triangle,yellow,1",False,14,1,47,hg03,2,"['False', 'True', 'False', 'True', 'false']",False,False,25.85235595703125,27.66485595703125
