,concept,is_bool,item_num,set_num,answer,hyes,hno,p(yes),lambda_rule,object,concept_num,set,model_answer
968,true,True,0,1,1,16,6,0.35644219194216475,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow triangle,hg01,1,False
969,true,True,1,2,1,14,8,0.4749728658866843,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow circle,hg01,2,False
970,true,True,2,3,1,5,17,0.5797109561979141,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium green triangle,hg01,3,True
971,true,True,3,3,1,22,0,0.5999404287263133,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large yellow circle,hg01,3,True
972,true,True,4,3,1,1,21,0.5978018693964486,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small green rectangle,hg01,3,True
973,true,True,5,3,1,21,1,0.5864830730599806,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large yellow triangle,hg01,3,True
974,true,True,6,4,1,18,4,0.8583975171284237,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small green circle,hg01,4,True
975,true,True,7,4,1,11,11,0.6752903806825543,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium blue rectangle,hg01,4,True
976,true,True,8,4,1,22,0,0.8546957878901367,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow circle,hg01,4,True
977,true,True,9,4,1,22,0,0.9038000386379963,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow triangle,hg01,4,True
978,true,True,10,5,1,22,0,0.868925179447956,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small green circle,hg01,5,True
979,true,True,11,6,1,21,1,0.8188312027326674,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium blue triangle,hg01,6,True
980,true,True,12,6,1,20,2,0.7648279939641043,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium blue circle,hg01,6,True
981,true,True,13,6,1,22,0,0.8588563406214007,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large green triangle,hg01,6,True
982,true,True,14,7,1,22,0,0.8844442012325544,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large blue triangle,hg01,7,True
983,true,True,15,8,1,22,0,0.941600076822283,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small blue triangle,hg01,8,True
984,true,True,16,8,1,22,0,0.7894579328255986,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow rectangle,hg01,8,True
985,true,True,17,9,1,22,0,0.9688369942246027,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small blue triangle,hg01,9,True
986,true,True,18,10,1,22,0,0.9089024538925514,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large green triangle,hg01,10,True
987,true,True,19,10,1,22,0,0.9594156774943485,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium blue triangle,hg01,10,True
988,true,True,20,11,1,22,0,0.8004136175937901,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large green circle,hg01,11,True
989,true,True,21,11,1,22,0,0.9893277573440855,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small blue triangle,hg01,11,True
990,true,True,22,11,1,22,0,0.8475425914865582,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large yellow rectangle,hg01,11,True
991,true,True,23,12,1,22,0,0.9884681562797368,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small blue triangle,hg01,12,True
992,true,True,24,12,1,22,0,0.9099007235741965,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow rectangle,hg01,12,True
993,true,True,25,13,1,22,0,0.9626189470202462,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow rectangle,hg01,13,True
994,true,True,26,13,1,22,0,0.9666651469527778,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium blue triangle,hg01,13,True
995,true,True,27,13,1,22,0,0.8715151486933337,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium blue circle,hg01,13,True
996,true,True,28,13,1,22,0,0.9388682243196627,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small green circle,hg01,13,True
997,true,True,29,14,1,22,0,0.9937503809564987,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small blue triangle,hg01,14,True
998,true,True,30,14,1,22,0,0.9628425546460448,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow triangle,hg01,14,True
999,true,True,31,14,1,22,0,0.9606663278442511,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium green rectangle,hg01,14,True
1000,true,True,32,14,1,22,0,0.8957193122669196,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large green circle,hg01,14,True
1001,true,True,33,14,1,22,0,0.989802824276012,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small blue rectangle,hg01,14,True
1002,true,True,34,15,1,22,0,0.9462354371410129,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large green triangle,hg01,15,True
1003,true,True,35,15,1,22,0,0.9445644567124418,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small green triangle,hg01,15,True
1004,true,True,36,16,1,22,0,0.9292824809639342,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large green rectangle,hg01,16,True
1005,true,True,37,17,1,22,0,0.984390311260654,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large green rectangle,hg01,17,True
1006,true,True,38,17,1,22,0,0.9171542738815788,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow circle,hg01,17,True
1007,true,True,39,18,1,22,0,0.9583123226454973,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow triangle,hg01,18,True
1008,true,True,40,18,1,22,0,0.9793495723913566,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small green triangle,hg01,18,True
1009,true,True,41,19,1,22,0,0.8371431387093935,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large blue circle,hg01,19,True
1010,true,True,42,19,1,21,1,0.9653050290577312,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium green circle,hg01,19,True
1011,true,True,43,19,1,22,0,0.9866950166393735,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium green rectangle,hg01,19,True
1012,true,True,44,19,1,21,1,0.9867419865738611,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small blue rectangle,hg01,19,True
1013,true,True,45,19,1,21,1,0.9780177078588395,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium blue triangle,hg01,19,True
1014,true,True,46,20,1,22,0,0.9858111981873208,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium green rectangle,hg01,20,True
1015,true,True,47,20,1,22,0,0.9853886724017684,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium blue rectangle,hg01,20,True
1016,true,True,48,20,1,22,0,0.9595176759186188,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large green circle,hg01,20,True
1017,true,True,49,20,1,22,0,0.9560257564945687,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow circle,hg01,20,True
1018,true,True,50,20,1,22,0,0.9197545479133851,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large yellow circle,hg01,20,True
1019,true,True,51,21,1,22,0,0.9907881107194498,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium blue rectangle,hg01,21,True
1020,true,True,52,21,1,22,0,0.9687664329404697,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow triangle,hg01,21,True
1021,true,True,53,21,1,22,0,0.9883452624694655,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow circle,hg01,21,True
1022,true,True,54,21,1,22,0,0.9902660350736596,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium blue triangle,hg01,21,True
1023,true,True,55,21,1,22,0,0.9839684933335775,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large yellow rectangle,hg01,21,True
1024,true,True,56,22,1,22,0,0.962323201395975,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium green rectangle,hg01,22,True
1025,true,True,57,23,1,21,1,0.9939884962511769,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large green rectangle,hg01,23,True
1026,true,True,58,23,1,22,0,0.9842325479723968,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small green triangle,hg01,23,True
1027,true,True,59,24,1,22,0,0.9776673146210442,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow rectangle,hg01,24,True
1028,true,True,60,24,1,22,0,0.9924329543518979,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large blue triangle,hg01,24,True
1029,true,True,61,25,1,22,0,0.9830421363103596,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium blue triangle,hg01,25,True
1030,true,True,62,25,1,22,0,0.9799125922238545,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow triangle,hg01,25,True
390,false,True,0,1,0,11,12,0.49245329912093894,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small blue rectangle,hg02,1,False
391,false,True,1,1,0,12,11,0.4695215416776364,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium blue rectangle,hg02,1,False
392,false,True,2,1,0,10,13,0.49509395513632626,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large blue triangle,hg02,1,False
393,false,True,3,1,0,8,15,0.40167276219392534,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow triangle,hg02,1,False
394,false,True,4,1,0,10,13,0.4218091262005146,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow rectangle,hg02,1,False
