,top5_ans,top_ans,sampled_ans,mass_ans,raw_true_mass,raw_false_mass,norm_true_mass,concept,uid,answers,object
0,"[' True', ' False', '\n', ' Qu', ' true']", True,0,True,0.6336374878883362,0.36612576246261597,0.6337875127792358,hg22,gpt2-tuned112,True,large blue circle
1,"[' False', ' True', '\n', ' 1', ' None']", False,1,False,0.26959162950515747,0.7303589582443237,0.26960495114326477,hg22,gpt2-tuned112,True,medium yellow circle
2,"[' False', ' True', '\n', 'True', 'False']", False,1,False,0.2412337064743042,0.758725643157959,0.24124351143836975,hg22,gpt2-tuned112,False,small green circle
3,"[' True', ' False', 'True', ' TRUE', ' true']", True,1,True,0.9362910389900208,0.0633126050233841,0.9366623163223267,hg22,gpt2-tuned112,True,large yellow circle
4,"[' False', ' True', '\n', "" '"", ' None']", False,0,False,0.15229877829551697,0.8469048142433167,0.15242017805576324,hg22,gpt2-tuned112,True,medium green triangle
5,"[' True', ' False', 'True', '\n', ' true']", True,0,True,0.6184438467025757,0.38150233030319214,0.6184771060943604,hg22,gpt2-tuned112,True,large green circle
6,"[' False', ' True', '\n', ' 1', ' Small']", False,0,False,0.25986024737358093,0.7398607730865479,0.2599327564239502,hg22,gpt2-tuned112,True,medium green rectangle
7,"[' True', ' False', 'True', '\n', ' TRUE']", True,1,True,0.9775969386100769,0.022076671943068504,0.9779161214828491,hg22,gpt2-tuned112,True,large yellow circle
8,"[' True', ' False', '\n', 'True', ' true']", True,1,True,0.8809406757354736,0.1189570426940918,0.881030797958374,hg22,gpt2-tuned112,True,large yellow triangle
9,"[' True', ' False', '\n', 'True', ' 1']", True,1,True,0.7750346660614014,0.22490271925926208,0.7750831842422485,hg22,gpt2-tuned112,True,medium blue triangle
10,"[' True', ' False', 'True', '\n', ' true']", True,1,True,0.9838735461235046,0.015995176509022713,0.9840027093887329,hg22,gpt2-tuned112,True,large yellow triangle
11,"[' True', ' False', 'True', '\n', ' true']", True,1,True,0.8927624821662903,0.1071835607290268,0.8928106427192688,hg22,gpt2-tuned112,True,large green rectangle
12,"[' True', ' False', 'True', '\n', ' true']", True,1,True,0.953382134437561,0.04653133451938629,0.9534646272659302,hg22,gpt2-tuned112,True,large green triangle
13,"[' False', ' True', 'True', ' false', ' Small']", False,0,False,0.17719659209251404,0.8227752447128296,0.17720158398151398,hg22,gpt2-tuned112,False,small blue rectangle
14,"[' False', ' True', 'False', '\n', ' false']", False,0,False,0.05205150321125984,0.9479292631149292,0.05205250531435013,hg22,gpt2-tuned112,False,small green circle
15,"[' True', ' False', 'True', ' true', ' TRUE']", True,1,True,0.9899094104766846,0.009982472285628319,0.9900164604187012,hg22,gpt2-tuned112,True,large yellow triangle
16,"[' True', ' False', 'True', '\n', ' true']", True,1,True,0.8941729068756104,0.10574822872877121,0.8942434191703796,hg22,gpt2-tuned112,True,medium blue circle
17,"[' True', ' False', '\n', 'True', ' 1']", True,1,True,0.8550528287887573,0.1448623687028885,0.855125367641449,hg22,gpt2-tuned112,True,medium green rectangle
18,"[' False', ' True', 'True', '\n', ' None']", False,0,False,0.45278456807136536,0.5471842885017395,0.45279866456985474,hg22,gpt2-tuned112,True,large blue rectangle
19,"[' True', ' False', '\n', 'True', "" '""]", True,1,True,0.885722815990448,0.1141945943236351,0.8857960104942322,hg22,gpt2-tuned112,True,medium green triangle
20,"[' True', ' False', 'True', '\n', ' TRUE']", True,1,True,0.9929568767547607,0.007004369981586933,0.9929953217506409,hg22,gpt2-tuned112,True,large yellow triangle
21,"[' False', ' True', ' false', '\n', ' Small']", False,0,False,0.08447884768247604,0.9155102372169495,0.08447977155447006,hg22,gpt2-tuned112,False,small yellow triangle
22,"[' True', ' False', 'True', '\n', ' true']", True,1,True,0.972645103931427,0.027292219921946526,0.9727060794830322,hg22,gpt2-tuned112,True,large blue rectangle
23,"[' True', ' False', '\n', 'True', ' 2']", True,1,True,0.8922293186187744,0.10769768059253693,0.8922944664955139,hg22,gpt2-tuned112,True,medium blue rectangle
24,"[' True', ' False', '\n', 'True', ' 2']", True,1,True,0.9003825783729553,0.09953517466783524,0.9004566669464111,hg22,gpt2-tuned112,True,medium blue circle
25,"[' False', ' True', '\n', 'False', ' false']", False,0,False,0.0585816390812397,0.9413930177688599,0.05858312174677849,hg22,gpt2-tuned112,False,small green circle
26,"[' False', ' True', '\n', ' Small', ' 9']", False,0,False,0.06279139220714569,0.9371862411499023,0.06279279291629791,hg22,gpt2-tuned112,False,small yellow rectangle
27,"[' True', ' False', 'True', '\n', ' true']", True,1,True,0.9696014523506165,0.030339818447828293,0.969658374786377,hg22,gpt2-tuned112,True,large green circle
28,"[' True', ' False', '\n', 'True', ' true']", True,1,True,0.9532774686813354,0.04662252217531204,0.9533728361129761,hg22,gpt2-tuned112,True,medium green triangle
29,"[' False', ' True', 'False', ' false', '\n']", False,0,False,0.0583285391330719,0.9416658282279968,0.058328866958618164,hg22,gpt2-tuned112,False,small blue rectangle
30,"[' True', ' False', 'True', '\n', ' 1']", True,1,True,0.9864960312843323,0.013429581187665462,0.9865694046020508,hg22,gpt2-tuned112,True,large yellow triangle
31,"[' True', ' False', '\n', 'True', ' true']", True,1,True,0.9463739991188049,0.053554363548755646,0.9464418292045593,hg22,gpt2-tuned112,True,medium blue triangle
32,"[' True', ' False', 'True', '\n', ' true']", True,1,True,0.9600772857666016,0.03986181691288948,0.9601357579231262,hg22,gpt2-tuned112,True,large green rectangle
33,"[' True', ' False', '\n', 'True', ' Qu']", True,1,True,0.968693196773529,0.031175794079899788,0.9688200950622559,hg22,gpt2-tuned112,True,medium green triangle
34,"[' False', ' True', 'False', ' false', 'True']", False,0,False,0.07466940581798553,0.9253214597702026,0.07467008382081985,hg22,gpt2-tuned112,False,small blue circle
35,"[' True', ' False', 'True', '\n', ' true']", True,1,True,0.9892374277114868,0.01067569199949503,0.9893233776092529,hg22,gpt2-tuned112,True,large green triangle
36,"[' True', ' False', 'True', '\n', ' true']", True,1,True,0.9736582040786743,0.026257775723934174,0.9737400412559509,hg22,gpt2-tuned112,True,medium blue triangle
37,"[' False', ' True', 'False', '\n', ' false']", False,0,False,0.07157827913761139,0.9284111857414246,0.07157903164625168,hg22,gpt2-tuned112,False,small blue rectangle
38,"[' True', ' False', 'True', '\n', ' 1']", True,1,True,0.9764506220817566,0.023368563503026962,0.9766272306442261,hg22,gpt2-tuned112,True,large blue circle
