,top5_ans,top_ans,sampled_ans,mass_ans,raw_true_mass,raw_false_mass,norm_true_mass,concept,uid,answers,object
0,"[' True', ' False', 'True', ' true', "" '""]", True,0,True,0.6224349141120911,0.3775258660316467,0.622459352016449,hg95,gemma7b-tuned92,False,large blue rectangle
1,"[' False', ' True', ' None', ' false', 'False']", False,0,False,0.1824239194393158,0.8175672888755798,0.1824255287647247,hg95,gemma7b-tuned92,False,medium blue rectangle
2,"[' False', ' True', ' None', ' false', ' true']", False,1,False,0.3775360286235809,0.622451663017273,0.3775406777858734,hg95,gemma7b-tuned92,False,large green triangle
3,"[' False', ' True', ' false', ' None', '  ']", False,0,False,0.2226981222629547,0.777292788028717,0.2227001339197158,hg95,gemma7b-tuned92,False,small green circle
4,"[' False', ' True', ' false', ' None', ' true']", False,1,False,0.3775374293327331,0.6224539875984192,0.3775406777858734,hg95,gemma7b-tuned92,False,large yellow circle
5,"[' False', ' True', ' false', ' None', 'False']", False,1,False,0.1480461806058883,0.8519469499588013,0.1480471938848495,hg95,gemma7b-tuned92,False,large yellow rectangle
6,"[' False', ' True', ' false', ' None', ' true']", False,0,False,0.2226976901292801,0.7772912979125977,0.222700148820877,hg95,gemma7b-tuned92,False,large green circle
7,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.0758578032255172,0.9241372346878052,0.0758581757545471,hg95,gemma7b-tuned92,False,large yellow rectangle
8,"[' False', ' True', ' None', ' false', ' Fake']", False,0,False,0.2226975262165069,0.7772907018661499,0.222700148820877,hg95,gemma7b-tuned92,False,medium yellow triangle
9,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.268938660621643,0.7310510873794556,0.2689414322376251,hg95,gemma7b-tuned92,False,medium yellow circle
10,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.1192019060254097,0.880789577960968,0.1192029193043708,hg95,gemma7b-tuned92,False,small green triangle
11,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.0758576169610023,0.9241349697113036,0.0758581757545471,hg95,gemma7b-tuned92,False,medium yellow rectangle
12,"[' False', ' True', ' false', ' None', 'False']", False,1,False,0.1480458080768585,0.8519448041915894,0.1480472087860107,hg95,gemma7b-tuned92,True,small blue circle
13,"[' False', ' True', ' false', 'False', ' None']", False,0,False,0.0758577361702919,0.9241364002227784,0.0758581757545471,hg95,gemma7b-tuned92,False,large green triangle
14,"[' False', ' True', ' None', ' false', 'False']", False,0,False,0.1824236810207367,0.8175662159919739,0.1824255287647247,hg95,gemma7b-tuned92,False,medium blue triangle
15,"[' False', ' True', ' None', ' false', 'False']", False,0,False,0.0953486487269401,0.9046428203582764,0.0953494608402252,hg95,gemma7b-tuned92,False,small yellow rectangle
16,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.182423785328865,0.8175666332244873,0.1824255287647247,hg95,gemma7b-tuned92,False,large blue triangle
17,"[' False', ' True', 'False', ' None', ' false']", False,0,False,0.0373267792165279,0.9626703262329102,0.0373268872499465,hg95,gemma7b-tuned92,False,large yellow circle
18,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.0758578181266784,0.9241374135017396,0.0758581832051277,hg95,gemma7b-tuned92,False,medium yellow triangle
19,"[' False', ' True', ' None', ' false', 'False']", False,0,False,0.1480457335710525,0.8519443869590759,0.1480471938848495,hg95,gemma7b-tuned92,False,small green circle
20,"[' False', ' True', ' false', ' None', 'False']", False,0,False,0.1192020699381828,0.8807907700538635,0.1192029193043708,hg95,gemma7b-tuned92,False,small green rectangle
