,top5_ans,top_ans,sampled_ans,mass_ans,raw_true_mass,raw_false_mass,norm_true_mass,concept,uid,answers,object
0,"[' False', ' FALSE', ' false', ' None', 'False']", False,0,False,5.5701335099911375e-08,0.9998632669448853,5.5708948565325045e-08,hg85,gemma7b-tuned112-answerloss,True,small green circle
1,"[' True', 'True', ' true', ' T', ' TRUE']", True,1,True,0.9999994039535522,1.4930938430079976e-10,1.0,hg85,gemma7b-tuned112-answerloss,True,small blue triangle
2,"[' True', 'True', ' Tru', ' TRUE', '  ']", True,1,True,0.9999996423721313,1.0060390021049415e-12,1.0,hg85,gemma7b-tuned112-answerloss,True,large yellow circle
3,"[' True', 'True', ' true', ' T', ' TRUE']", True,1,True,0.9999998807907104,5.279209500244153e-15,1.0,hg85,gemma7b-tuned112-answerloss,True,small blue circle
4,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,2.3195226989972605e-16,1.0,hg85,gemma7b-tuned112-answerloss,False,small blue rectangle
5,"[' False', 'False', ' false', ' FALSE', ' Fa']", False,0,False,4.75219310517444e-13,1.0,4.75219310517444e-13,hg85,gemma7b-tuned112-answerloss,False,small green rectangle
6,"[' False', 'False', ' false', ' FALSE', ' ']", False,0,False,2.973846483737136e-13,1.0,2.973846483737136e-13,hg85,gemma7b-tuned112-answerloss,False,small yellow triangle
7,"[' False', 'False', ' FALSE', ' false', ' Faker']", False,0,False,4.3334390869987217e-16,1.0,4.3334390869987217e-16,hg85,gemma7b-tuned112-answerloss,False,medium yellow triangle
8,"[' False', 'False', ' false', ' FALSE', ' True']", False,0,False,1.070923297957771e-12,1.0,1.070923297957771e-12,hg85,gemma7b-tuned112-answerloss,True,medium green circle
9,"[' False', ' True', 'False', ' false', ' FALSE']", False,0,False,1.0799672267580718e-08,1.0,1.0799672267580718e-08,hg85,gemma7b-tuned112-answerloss,False,small green rectangle
10,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,0.9999998807907104,6.846182420885277e-14,1.0,hg85,gemma7b-tuned112-answerloss,True,medium blue circle
11,"[' True', 'True', ' true', ' TRUE', ' T']", True,1,True,1.0,5.384940540351102e-13,1.0,hg85,gemma7b-tuned112-answerloss,False,medium blue rectangle
12,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,4.910429989734471e-16,1.0,hg85,gemma7b-tuned112-answerloss,True,medium green circle
13,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,2.6810039512872516e-14,1.0,hg85,gemma7b-tuned112-answerloss,True,small yellow circle
14,"[' False', 'False', ' false', ' FALSE', ' Faker']", False,0,False,4.3766183914300226e-15,1.0,4.3766183914300226e-15,hg85,gemma7b-tuned112-answerloss,False,small yellow triangle
15,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,1.3347932700406634e-15,1.0,hg85,gemma7b-tuned112-answerloss,True,small yellow circle
16,"[' False', 'False', ' false', ' FALSE', ' Faker']", False,0,False,1.0741521348381383e-18,1.0,1.0741521348381383e-18,hg85,gemma7b-tuned112-answerloss,False,small green rectangle
17,"[' False', 'False', ' FALSE', ' false', ' Fal']", False,0,False,9.47935953891122e-19,1.0,9.47935953891122e-19,hg85,gemma7b-tuned112-answerloss,False,medium yellow triangle
18,"[' True', 'True', ' true', ' TRUE', ' Truth']", True,1,True,1.0,6.645543894960403e-17,1.0,hg85,gemma7b-tuned112-answerloss,True,large blue circle
19,"[' True', ' False', 'True', ' true', ' TRUE']", True,1,True,1.0,3.224186784223093e-08,1.0,hg85,gemma7b-tuned112-answerloss,True,large blue triangle
20,"[' False', 'False', ' false', ' FALSE', ' Faker']", False,0,False,1.9229519316090458e-16,1.0,1.9229519316090458e-16,hg85,gemma7b-tuned112-answerloss,False,medium blue rectangle
21,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,5.864672161820544e-17,1.0,hg85,gemma7b-tuned112-answerloss,True,medium blue triangle
22,"[' False', 'False', ' FALSE', ' false', ' Faker']", False,0,False,4.86198400649071e-17,1.0,4.86198400649071e-17,hg85,gemma7b-tuned112-answerloss,False,large green triangle
23,"[' False', 'False', ' FALSE', ' false', ' Faker']", False,0,False,8.365505526405104e-19,1.0,8.365505526405104e-19,hg85,gemma7b-tuned112-answerloss,False,large yellow triangle
24,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,6.181318885539313e-18,1.0,hg85,gemma7b-tuned112-answerloss,True,medium yellow circle
25,"[' True', 'True', ' true', ' TRUE', ' False']", True,1,True,1.0,6.5602002996545394e-12,1.0,hg85,gemma7b-tuned112-answerloss,True,large blue triangle
26,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,1.7139083824518615e-15,1.0,hg85,gemma7b-tuned112-answerloss,True,small blue circle
27,"[' False', 'False', ' false', ' FALSE', 'assertFalse']", False,0,False,5.864672161820544e-17,1.0,5.864672161820544e-17,hg85,gemma7b-tuned112-answerloss,False,medium yellow triangle
28,"[' False', ' false', 'False', ' FALSE', ' Fa']", False,0,False,4.567411424598531e-17,1.0,4.567411424598531e-17,hg85,gemma7b-tuned112-answerloss,False,small blue rectangle
29,"[' False', ' false', 'False', ' FALSE', ' falsely']", False,0,False,3.9515849918093614e-19,1.0,3.9515849918093614e-19,hg85,gemma7b-tuned112-answerloss,False,medium green rectangle
30,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,7.858665081723956e-19,1.0,hg85,gemma7b-tuned112-answerloss,True,small blue circle
31,"[' True', 'True', ' true', ' Tru', ' TRUE']", True,1,True,1.0,3.9909595127499215e-18,1.0,hg85,gemma7b-tuned112-answerloss,True,medium green circle
32,"[' False', 'False', ' false', ' FALSE', ' Faker']", False,0,False,6.181318885539313e-18,1.0,6.181318885539313e-18,hg85,gemma7b-tuned112-answerloss,False,medium yellow triangle
33,"[' True', ' true', 'True', ' TRUE', ' Tru']", True,1,True,0.9999998807907104,5.749522023787777e-19,1.0,hg85,gemma7b-tuned112-answerloss,True,small blue circle
34,"[' False', 'False', ' false', ' FALSE', ' Faker']", False,0,False,6.120334684686111e-19,1.0,6.120334684686111e-19,hg85,gemma7b-tuned112-answerloss,False,medium yellow rectangle
35,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,8.993766055444109e-18,1.0,hg85,gemma7b-tuned112-answerloss,True,medium yellow circle
36,"[' False', 'False', ' false', ' FALSE', ' Faker']", False,0,False,1.1321480164815214e-19,1.0,1.1321480164815214e-19,hg85,gemma7b-tuned112-answerloss,False,large yellow rectangle
37,"[' False', ' FALSE', 'False', ' false', ' FEB']", False,0,False,7.074145213249039e-17,1.0,7.074145213249039e-17,hg85,gemma7b-tuned112-answerloss,False,small blue rectangle
38,"[' False', 'False', ' FALSE', ' false', ' Faker']", False,0,False,2.3230170676602995e-19,1.0,2.3230170676602995e-19,hg85,gemma7b-tuned112-answerloss,False,large yellow triangle
39,"[' False', 'False', ' FALSE', ' false', ' Faker']", False,0,False,5.1244930826068634e-18,1.0,5.1244930826068634e-18,hg85,gemma7b-tuned112-answerloss,False,medium yellow triangle
40,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,0.9999998807907104,3.749158903269033e-18,1.0,hg85,gemma7b-tuned112-answerloss,True,large blue circle
41,"[' False', 'False', ' false', ' FALSE', ' Faker']", False,0,False,1.1065824770178576e-15,1.0,1.1065824770178576e-15,hg85,gemma7b-tuned112-answerloss,False,medium green triangle
42,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,1.3085852533981701e-17,1.0,hg85,gemma7b-tuned112-answerloss,True,small blue triangle
43,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,0.9999998807907104,4.8140153891784535e-18,1.0,hg85,gemma7b-tuned112-answerloss,True,small blue circle
44,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,0.9999998807907104,1.0191271292334064e-17,1.0,hg85,gemma7b-tuned112-answerloss,True,medium blue triangle
45,"[' False', 'False', ' false', ' FALSE', ' Faker']", False,0,False,3.275979022652082e-19,1.0,3.275979022652082e-19,hg85,gemma7b-tuned112-answerloss,False,large green rectangle
46,"[' True', ' true', 'True', ' TRUE', ' Tru']", True,1,True,0.9999998807907104,4.2483537175483534e-18,1.0,hg85,gemma7b-tuned112-answerloss,True,small green circle
47,"[' False', 'False', ' FALSE', ' false', ' Faker']", False,0,False,5.1833515326833804e-20,1.0,5.1833515326833804e-20,hg85,gemma7b-tuned112-answerloss,False,medium yellow rectangle
48,"[' False', ' FALSE', 'False', ' false', ' falsely']", False,0,False,5.073935700170046e-19,1.0,5.073935700170046e-19,hg85,gemma7b-tuned112-answerloss,False,small yellow rectangle
49,"[' True', ' true', 'True', ' TRUE', ' Tru']", True,1,True,1.0,2.5513349433493033e-19,1.0,hg85,gemma7b-tuned112-answerloss,True,large blue circle
50,"[' False', 'False', ' FALSE', ' false', ' Faker']", False,0,False,3.7865168612737654e-17,1.0,3.7865168612737654e-17,hg85,gemma7b-tuned112-answerloss,False,small yellow triangle
51,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,3.749159316859339e-18,1.0,hg85,gemma7b-tuned112-answerloss,True,small blue triangle
52,"[' True', ' true', 'True', ' TRUE', ' Tru']", True,1,True,0.9999998807907104,2.862518286463706e-20,1.0,hg85,gemma7b-tuned112-answerloss,True,small blue circle
53,"[' True', ' False', 'True', ' true', ' TRUE']", True,1,True,0.9999996423721313,3.0590220490012143e-07,0.9999997019767761,hg85,gemma7b-tuned112-answerloss,True,small blue triangle
54,"[' False', 'False', ' false', ' FALSE', ' Faker']", False,0,False,3.3086215341773792e-18,1.0,3.3086215341773792e-18,hg85,gemma7b-tuned112-answerloss,False,medium green triangle
55,"[' False', 'False', ' FALSE', ' false', ' Faker']", False,0,False,8.365505526405104e-19,1.0,8.365505526405104e-19,hg85,gemma7b-tuned112-answerloss,False,large green rectangle
56,"[' True', ' true', 'True', ' TRUE', ' Tru']", True,1,True,1.0,4.7194951407926383e-20,1.0,hg85,gemma7b-tuned112-answerloss,True,large blue circle
57,"[' False', 'False', ' false', ' FALSE', ' Faker']", False,0,False,3.1081623777361254e-18,1.0,3.1081623777361254e-18,hg85,gemma7b-tuned112-answerloss,False,small green rectangle
58,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,7.004352014501e-18,1.0,hg85,gemma7b-tuned112-answerloss,True,small yellow circle
59,"[' False', 'False', ' FALSE', ' false', ' Faker']", False,0,False,5.073935700170046e-19,1.0,5.073935700170046e-19,hg85,gemma7b-tuned112-answerloss,False,medium green rectangle
60,"[' False', 'False', ' FALSE', ' false', ' Faker']", False,0,False,6.924816216323862e-16,1.0,6.924816216323862e-16,hg85,gemma7b-tuned112-answerloss,False,large blue rectangle
61,"[' True', 'True', ' true', ' TRUE', ' Tru']", True,1,True,1.0,5.74952254077566e-19,1.0,hg85,gemma7b-tuned112-answerloss,True,small yellow circle
