,obj,label,set,item_in_set,item_num,concept,listnum,top5,top_ans,mass_ans,true_mass,false_mass
0,"triangle,yellow,2",False,0,0,0,hg72,2,"['->', ' True', ' False', '<<', ' true']",->,True,7.59375,6.5078125
1,"triangle,green,2",False,1,0,1,hg72,2,"['->', ' True', '>', ' False', '=']",->,True,7.1875,6.4453125
2,"rectangle,blue,1",False,1,1,2,hg72,2,"[' False', '->', ' True', '=', '>']", False,False,7.08203125,9.046875
3,"rectangle,yellow,3",False,2,0,3,hg72,2,"[' False', ' True', '\n', "" '"", ' ""']", False,False,11.4296875,11.4296875
4,"triangle,green,2",False,2,1,4,hg72,2,"[' False', ' True', ' false', 'False', ' FALSE']", False,False,14.8125,16.609375
5,"circle,green,2",True,3,0,5,hg72,2,"[' False', ' True', ' Yellow', ' Blue', ' Small']", False,False,6.921875,8.4921875
6,"circle,blue,1",False,3,1,6,hg72,2,"[' True', ' False', ' Yellow', ' Blue', ' Small']", True,True,9.9375,9.375
7,"triangle,green,1",False,3,2,7,hg72,2,"[' False', ' True', ' Yellow', ' Blue', ' ""']", False,False,8.75,10.3515625
8,"triangle,green,1",True,4,0,8,hg72,2,"[' True', ' False', ' true', ' false', "" '""]", True,True,12.6796875,11.6328125
9,"rectangle,green,1",False,4,1,9,hg72,2,"[' True', ' False', ' false', ' true', ' TRUE']", True,True,16.828125,16.25
10,"triangle,blue,3",False,4,2,10,hg72,2,"[' False', ' True', ' Yellow', ' Blue', ' Red']", False,False,10.40625,12.515625
11,"rectangle,yellow,2",False,4,3,11,hg72,2,"[' False', ' True', ' Yellow', ' false', ' Red']", False,False,11.3046875,13.578125
12,"circle,green,3",False,4,4,12,hg72,2,"[' False', ' True', 'False', ' false', '\n']", False,False,10.1953125,12.4375
13,"triangle,green,1",False,5,0,13,hg72,2,"[' True', ' False', ' true', ' false', "" '""]", True,True,12.59375,11.4609375
14,"circle,yellow,3",True,5,1,14,hg72,2,"[' False', ' True', ' false', 'False', ' FALSE']", False,False,15.6796875,16.828125
15,"circle,blue,1",False,5,2,15,hg72,2,"[' False', ' True', ' Yellow', ' Small', ' Blue']", False,False,10.7109375,10.953125
16,"circle,green,1",True,5,3,16,hg72,2,"[' False', ' True', ' Yellow', ' Error', ' Blue']", False,False,10.4921875,12.1796875
