,top5_ans,top_ans,sampled_ans,mass_ans,raw_true_mass,raw_false_mass,norm_true_mass,concept,uid,answers,object
0,"[' True', ' False', 'True', 'False', ' TRUE']", True,1,True,0.5926602482795715,0.4073290526866913,0.5926666259765625,hg90,gemma2b-tuned112,False,large green circle
1,"[' False', ' True', 'False', 'True', ' false']", False,1,False,0.3702233135700226,0.6297711133956909,0.3702253997325897,hg90,gemma2b-tuned112,False,small green triangle
2,"[' False', ' True', ' false', ' TRUE', ' FALSE']", False,0,False,0.32938724756240845,0.6705991625785828,0.3293917179107666,hg90,gemma2b-tuned112,False,medium blue rectangle
3,"[' False', ' True', 'False', 'True', ' false']", False,1,False,0.34157899022102356,0.6584107279777527,0.3415825068950653,hg90,gemma2b-tuned112,False,large blue triangle
4,"[' False', ' True', ' false', 'False', 'True']", False,1,False,0.3259452283382416,0.6740416288375854,0.325949490070343,hg90,gemma2b-tuned112,False,large blue rectangle
5,"[' False', ' True', 'False', 'True', ' None']", False,0,False,0.3504188656806946,0.6495739817619324,0.35042136907577515,hg90,gemma2b-tuned112,False,medium yellow circle
6,"[' False', ' True', 'False', ' [', ' FALSE']", False,0,False,0.11357927322387695,0.8864179849624634,0.11357958614826202,hg90,gemma2b-tuned112,False,small green triangle
7,"[' False', ' True', 'False', ' false', ' None']", False,0,False,0.17328710854053497,0.82670658826828,0.17328819632530212,hg90,gemma2b-tuned112,False,small blue rectangle
8,"[' False', ' True', 'False', 'True', ' false']", False,0,False,0.27982717752456665,0.7201681733131409,0.2798284888267517,hg90,gemma2b-tuned112,True,large yellow rectangle
9,"[' True', ' False', 'True', ' false', 'False']", True,1,True,0.5964289307594299,0.4035640060901642,0.5964331030845642,hg90,gemma2b-tuned112,True,medium yellow rectangle
10,"[' False', ' True', 'False', ' None', '\n\n']", False,0,False,0.03904827684164047,0.9609513878822327,0.039048291742801666,hg90,gemma2b-tuned112,False,small blue rectangle
11,"[' False', ' True', 'False', ' Not', ' None']", False,0,False,0.045691926032304764,0.9543057680130005,0.04569203406572342,hg90,gemma2b-tuned112,False,small blue triangle
12,"[' False', ' True', 'False', 'True', ' None']", False,1,False,0.1666748970746994,0.8333220481872559,0.16667540371418,hg90,gemma2b-tuned112,False,small yellow circle
13,"[' False', ' True', 'False', ' None', 'True']", False,1,False,0.19806316494941711,0.8019317388534546,0.1980641782283783,hg90,gemma2b-tuned112,False,medium green rectangle
14,"[' False', ' True', 'False', 'True', ' false']", False,0,False,0.4148949980735779,0.5850957036018372,0.4148988425731659,hg90,gemma2b-tuned112,False,medium yellow circle
15,"[' False', ' True', 'False', ' false', ' FALSE']", False,0,False,0.0690377727150917,0.9309599995613098,0.06903792172670364,hg90,gemma2b-tuned112,False,small green triangle
16,"[' False', ' True', 'False', ' false', 'True']", False,0,False,0.3023894131183624,0.6976050734519958,0.30239108204841614,hg90,gemma2b-tuned112,True,small yellow triangle
17,"[' False', ' True', 'True', 'False', ' false']", False,0,False,0.49999457597732544,0.49999457597732544,0.5,hg90,gemma2b-tuned112,True,medium yellow triangle
18,"[' False', ' True', 'False', 'True', ' false']", False,1,False,0.26894059777259827,0.7310563325881958,0.2689414322376251,hg90,gemma2b-tuned112,False,large green triangle
