,concept,is_bool,item_num,set_num,answer,hyes,hno,p(yes),lambda_rule,rule_expression,manual_code,object,model_answer
968,hg01,True,0,0,1,16,6,0.35644219194216475443681702017784,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium yellow triangle,False
969,hg01,True,1,1,1,14,8,0.47497286588668430340476334095001,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small yellow circle,False
970,hg01,True,2,2,1,5,17,0.57971095619791412900667637586594,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium green triangle,True
971,hg01,True,3,2,1,22,0,0.59994042872631325735710561275482,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large yellow circle,True
972,hg01,True,4,2,1,1,21,0.59780186939644863741705194115639,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small green rectangle,True
973,hg01,True,5,2,1,21,1,0.58648307305998059746343642473221,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large yellow triangle,True
974,hg01,True,6,3,1,18,4,0.85839751712842371489387005567551,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small green circle,True
975,hg01,True,7,3,1,11,11,0.67529038068255431426223367452621,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue rectangle,True
976,hg01,True,8,3,1,22,0,0.85469578789013667119434103369713,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small yellow circle,True
977,hg01,True,9,3,1,22,0,0.90380003863799629471031948924065,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium yellow triangle,True
978,hg01,True,10,4,1,22,0,0.86892517944795599760254845023155,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small green circle,True
979,hg01,True,11,5,1,21,1,0.81883120273266740696271881461143,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue triangle,True
980,hg01,True,12,5,1,20,2,0.76482799396410428016679361462593,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue circle,True
981,hg01,True,13,5,1,22,0,0.8588563406214007045491598546505,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large green triangle,True
982,hg01,True,14,6,1,22,0,0.88444420123255440557841211557388,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large blue triangle,True
983,hg01,True,15,7,1,22,0,0.94160007682228297198889777064323,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small blue triangle,True
984,hg01,True,16,7,1,22,0,0.78945793282559861836489289999008,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small yellow rectangle,True
985,hg01,True,17,8,1,22,0,0.96883699422460267669521272182465,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small blue triangle,True
986,hg01,True,18,9,1,22,0,0.90890245389255142072215676307678,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large green triangle,True
987,hg01,True,19,9,1,22,0,0.9594156774943485288531519472599,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue triangle,True
988,hg01,True,20,10,1,22,0,0.80041361759379014984006062150002,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large green circle,True
989,hg01,True,21,10,1,22,0,0.98932775734408551215892657637596,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small blue triangle,True
990,hg01,True,22,10,1,22,0,0.84754259148655819444684311747551,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large yellow rectangle,True
