,concept,is_bool,item_num,set_num,answer,hyes,hno,p(yes),lambda_rule,object,concept_num,set,model_answer,to_annotate
3235,one of the smallest of objects who share a shape with another object,False,0,1,1,13,12,0.48211022193140707,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large blue rectangle,hg100,1,False,False
3236,one of the smallest of objects who share a shape with another object,False,1,1,1,5,20,0.4155132294214354,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium green triangle,hg100,1,False,False
3237,one of the smallest of objects who share a shape with another object,False,2,2,0,21,4,0.7203952305176244,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium blue rectangle,hg100,2,True,False
3238,one of the smallest of objects who share a shape with another object,False,3,2,1,5,20,0.5842906599311846,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small green circle,hg100,2,True,False
3239,one of the smallest of objects who share a shape with another object,False,4,2,1,10,15,0.6341955329165785,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small green rectangle,hg100,2,True,False
3240,one of the smallest of objects who share a shape with another object,False,5,3,1,18,6,0.8434562977329279,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small green triangle,hg100,3,True,False
3241,one of the smallest of objects who share a shape with another object,False,6,3,0,16,8,0.7652024544688629,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large green rectangle,hg100,3,True,False
3242,one of the smallest of objects who share a shape with another object,False,7,3,1,11,13,0.5101866051724073,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large yellow circle,hg100,3,True,False
3243,one of the smallest of objects who share a shape with another object,False,8,3,1,21,3,0.8693640904201629,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small green rectangle,hg100,3,True,False
3244,one of the smallest of objects who share a shape with another object,False,9,3,1,8,16,0.6501254139584489,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small blue rectangle,hg100,3,True,False
3245,one of the smallest of objects who share a shape with another object,False,10,4,1,17,6,0.6117081484881055,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large blue rectangle,hg100,4,True,False
3246,one of the smallest of objects who share a shape with another object,False,11,4,1,11,12,0.8239025028428841,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow triangle,hg100,4,True,False
3247,one of the smallest of objects who share a shape with another object,False,12,4,1,15,8,0.7408845308328864,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium green circle,hg100,4,True,False
3248,one of the smallest of objects who share a shape with another object,False,13,5,1,18,5,0.7875073210125265,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow triangle,hg100,5,True,False
3249,one of the smallest of objects who share a shape with another object,False,14,6,0,16,7,0.7519944842516679,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large blue rectangle,hg100,6,True,False
3250,one of the smallest of objects who share a shape with another object,False,15,6,0,19,4,0.6958878477756798,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large yellow circle,hg100,6,True,False
3251,one of the smallest of objects who share a shape with another object,False,16,6,1,14,9,0.7376317135820045,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow circle,hg100,6,True,False
3252,one of the smallest of objects who share a shape with another object,False,17,6,1,16,7,0.8626218171253868,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow rectangle,hg100,6,True,False
3253,one of the smallest of objects who share a shape with another object,False,18,6,1,19,4,0.8845908542978123,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small blue rectangle,hg100,6,True,False
3254,one of the smallest of objects who share a shape with another object,False,19,7,1,15,8,0.41672152297496723,"""λx.apply7(not,apply1(large,x.o))""
",large yellow rectangle,hg100,7,False,False
3255,one of the smallest of objects who share a shape with another object,False,20,7,0,10,13,0.33647290244346095,"""λx.apply7(not,apply1(large,x.o))""
",large yellow circle,hg100,7,False,False
3256,one of the smallest of objects who share a shape with another object,False,21,7,1,15,8,0.9679849792647701,"""λx.apply7(not,apply1(large,x.o))""
",small green triangle,hg100,7,True,False
3257,one of the smallest of objects who share a shape with another object,False,22,7,1,16,7,0.863718972202264,"""λx.apply7(not,apply1(large,x.o))""
",medium yellow circle,hg100,7,True,False
3258,one of the smallest of objects who share a shape with another object,False,23,8,1,15,8,0.7184109639866847,"""λx.apply7(not,apply1(large,x.o))""
",large yellow triangle,hg100,8,True,False
3259,one of the smallest of objects who share a shape with another object,False,24,8,1,19,4,0.9121634890631185,"""λx.apply7(not,apply1(large,x.o))""
",small yellow circle,hg100,8,True,False
3260,one of the smallest of objects who share a shape with another object,False,25,9,1,21,2,0.9719712475513234,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small green triangle,hg100,9,True,False
3261,one of the smallest of objects who share a shape with another object,False,26,9,1,20,3,0.9137337317633865,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow circle,hg100,9,True,False
3262,one of the smallest of objects who share a shape with another object,False,27,10,1,20,3,0.909365236151757,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small blue rectangle,hg100,10,True,False
3263,one of the smallest of objects who share a shape with another object,False,28,10,1,21,2,0.9453805467728671,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow triangle,hg100,10,True,False
3264,one of the smallest of objects who share a shape with another object,False,29,11,1,10,13,0.7913465249719138,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large green rectangle,hg100,11,True,False
3265,one of the smallest of objects who share a shape with another object,False,30,12,0,14,9,0.893366575332152,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large yellow rectangle,hg100,12,True,False
3266,one of the smallest of objects who share a shape with another object,False,31,12,1,20,3,0.9651707859425187,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium green triangle,hg100,12,True,False
3267,one of the smallest of objects who share a shape with another object,False,32,12,0,15,8,0.9386671006172946,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium green rectangle,hg100,12,True,False
3268,one of the smallest of objects who share a shape with another object,False,33,12,1,22,1,0.959404406261342,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow rectangle,hg100,12,True,False
3269,one of the smallest of objects who share a shape with another object,False,34,13,1,17,6,0.8875806886895816,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",small blue circle,hg100,13,True,False
3270,one of the smallest of objects who share a shape with another object,False,35,14,1,20,3,0.851096242757535,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow circle,hg100,14,True,False
3271,one of the smallest of objects who share a shape with another object,False,36,15,0,12,11,0.7322171989028448,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large green triangle,hg100,15,True,False
3272,one of the smallest of objects who share a shape with another object,False,37,15,0,13,10,0.8618142367305381,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow triangle,hg100,15,True,False
3273,one of the smallest of objects who share a shape with another object,False,38,15,1,21,2,0.9191596216799098,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small blue triangle,hg100,15,True,False
3274,one of the smallest of objects who share a shape with another object,False,39,16,0,7,15,0.5136937899889062,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium blue rectangle,hg100,16,True,False
3275,one of the smallest of objects who share a shape with another object,False,40,16,1,17,5,0.6133229619680378,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",large yellow circle,hg100,16,True,False
3276,one of the smallest of objects who share a shape with another object,False,41,16,1,19,3,0.9605493474923605,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",small blue rectangle,hg100,16,True,False
3277,one of the smallest of objects who share a shape with another object,False,42,17,1,17,5,0.6167494280210803,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium yellow rectangle,hg100,17,True,False
3278,one of the smallest of objects who share a shape with another object,False,43,17,1,18,4,0.568233956470408,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",large blue triangle,hg100,17,True,False
3279,one of the smallest of objects who share a shape with another object,False,44,17,0,3,19,0.3954615885174917,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",large green rectangle,hg100,17,False,False
3280,one of the smallest of objects who share a shape with another object,False,45,18,1,19,2,0.943648526521315,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",small yellow triangle,hg100,18,True,False
3281,one of the smallest of objects who share a shape with another object,False,46,18,1,19,2,0.97102240625577,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",small yellow circle,hg100,18,True,False
3282,one of the smallest of objects who share a shape with another object,False,47,18,0,7,14,0.31907726207009546,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",large green triangle,hg100,18,False,False
3283,one of the smallest of objects who share a shape with another object,False,48,18,1,20,1,0.9743182725218276,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",small blue rectangle,hg100,18,True,False
3284,one of the smallest of objects who share a shape with another object,False,49,18,0,5,16,0.40730496585081255,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium yellow triangle,hg100,18,False,False
3285,one of the smallest of objects who share a shape with another object,False,50,19,1,17,4,0.9581286523418839,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",small yellow rectangle,hg100,19,True,False
3286,one of the smallest of objects who share a shape with another object,False,51,19,1,19,2,0.9641633074220408,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",small blue rectangle,hg100,19,True,False
3287,one of the smallest of objects who share a shape with another object,False,52,19,1,17,4,0.7258191401532486,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",large yellow triangle,hg100,19,True,False
3288,one of the smallest of objects who share a shape with another object,False,53,20,1,19,2,0.8198177362213528,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium blue triangle,hg100,20,True,False
3289,one of the smallest of objects who share a shape with another object,False,54,21,1,18,3,0.8716486798567757,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium green triangle,hg100,21,True,False
3290,one of the smallest of objects who share a shape with another object,False,55,21,1,18,3,0.857908472435156,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium green rectangle,hg100,21,True,False
3291,one of the smallest of objects who share a shape with another object,False,56,21,1,16,5,0.9133292758294829,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium blue rectangle,hg100,21,True,False
