,top5_ans,top_ans,sampled_ans,mass_ans,raw_true_mass,raw_false_mass,norm_true_mass,concept,uid,answers,object
0,"[' True', ' False', ' true', ' false', 'True']", True,1,True,0.7330089807510376,0.2616177499294281,0.7369688749313354,hg112,gemma2b-tuned112-sparsed_primitivesor,False,large blue rectangle
1,"[' False', ' True', ' false', ' true', 'False']", False,0,False,0.3317960202693939,0.6676332950592041,0.3319854736328125,hg112,gemma2b-tuned112-sparsed_primitivesor,False,large green circle
2,"[' False', ' True', ' false', ' true', 'True']", False,0,False,0.3868984878063202,0.612253725528717,0.38722679018974304,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium yellow rectangle
3,"[' False', ' True', ' false', ' true', 'False']", False,0,False,0.20869149267673492,0.7906760573387146,0.208823561668396,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium green circle
4,"[' False', ' True', ' false', ' true', 'False']", False,0,False,0.3502799868583679,0.6493165493011475,0.35042136907577515,hg112,gemma2b-tuned112-sparsed_primitivesor,False,large yellow triangle
5,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.15706798434257507,0.8424937129020691,0.15713685750961304,hg112,gemma2b-tuned112-sparsed_primitivesor,False,small blue triangle
6,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.05338885635137558,0.9463401436805725,0.053403329104185104,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium blue rectangle
7,"[' False', ' True', ' false', ' true', 'False']", False,0,False,0.22059263288974762,0.7790197730064392,0.2206781655550003,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium yellow rectangle
8,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.06977568566799164,0.929948627948761,0.0697949230670929,hg112,gemma2b-tuned112-sparsed_primitivesor,True,large green circle
9,"[' False', ' True', ' false', ' true', 'False']", False,0,False,0.303096204996109,0.6965095400810242,0.30321574211120605,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium blue circle
10,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.6129838228225708,0.38660407066345215,0.6132365465164185,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium yellow triangle
11,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.7645627856254578,0.23500731587409973,0.7648915648460388,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium blue rectangle
12,"[' False', ' True', ' false', 'False', ' true']", False,1,False,0.24503284692764282,0.7547543048858643,0.24508501589298248,hg112,gemma2b-tuned112-sparsed_primitivesor,False,large blue rectangle
13,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.08447327464818954,0.9152962565422058,0.0844927504658699,hg112,gemma2b-tuned112-sparsed_primitivesor,False,small green triangle
14,"[' True', ' False', ' true', ' false', 'True']", True,1,True,0.6763545870780945,0.3232533037662506,0.6766198873519897,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium blue circle
15,"[' False', ' True', ' false', ' true', 'False']", False,0,False,0.34147319197654724,0.6582068204879761,0.3415824770927429,hg112,gemma2b-tuned112-sparsed_primitivesor,False,small yellow rectangle
16,"[' False', ' True', ' false', ' true', 'False']", False,0,False,0.32328858971595764,0.6764284372329712,0.32338011264801025,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium yellow circle
17,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.15452434122562408,0.8451974987983704,0.15456733107566833,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium green rectangle
18,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.04500726982951164,0.9548091888427734,0.04501553252339363,hg112,gemma2b-tuned112-sparsed_primitivesor,True,large yellow triangle
19,"[' False', ' True', ' false', ' true', 'True']", False,0,False,0.4242599308490753,0.5753817558288574,0.4244120121002197,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium blue triangle
20,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.9494978189468384,0.0501253567636013,0.9498557448387146,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium yellow circle
21,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.09874990582466125,0.9010204076766968,0.09877259284257889,hg112,gemma2b-tuned112-sparsed_primitivesor,True,small green circle
22,"[' True', ' False', 'True', ' true', ' false']", True,1,True,0.5801780819892883,0.41952216625213623,0.5803520679473877,hg112,gemma2b-tuned112-sparsed_primitivesor,False,small blue circle
23,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.11877141147851944,0.8810434937477112,0.11879339814186096,hg112,gemma2b-tuned112-sparsed_primitivesor,False,large blue rectangle
24,"[' False', ' True', ' false', ' true', 'False']", False,0,False,0.39596810936927795,0.6037792563438416,0.39606815576553345,hg112,gemma2b-tuned112-sparsed_primitivesor,False,small yellow circle
25,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.037320856004953384,0.9625175595283508,0.037326887249946594,hg112,gemma2b-tuned112-sparsed_primitivesor,False,small green triangle
26,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.061864789575338364,0.9379542469978333,0.06187598779797554,hg112,gemma2b-tuned112-sparsed_primitivesor,False,large blue triangle
27,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.20812158286571503,0.7916029095649719,0.20817893743515015,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium yellow triangle
28,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.21331886947155,0.7864078879356384,0.21337716281414032,hg112,gemma2b-tuned112-sparsed_primitivesor,True,small blue circle
29,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.5687090754508972,0.43096429109573364,0.5688949227333069,hg112,gemma2b-tuned112-sparsed_primitivesor,False,large yellow triangle
30,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.9603611826896667,0.03917703405022621,0.96080482006073,hg112,gemma2b-tuned112-sparsed_primitivesor,True,large green circle
31,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.7849884629249573,0.21460390090942383,0.7853085994720459,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium yellow rectangle
32,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.8416017889976501,0.15813228487968445,0.8418256640434265,hg112,gemma2b-tuned112-sparsed_primitivesor,True,small green circle
33,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.028756361454725266,0.9710619449615479,0.02876158617436886,hg112,gemma2b-tuned112-sparsed_primitivesor,False,small green triangle
34,"[' True', ' False', ' true', 'True', ' false']", True,0,True,0.9587127566337585,0.04098670557141304,0.9590009450912476,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium yellow circle
35,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.041766565293073654,0.9580582976341248,0.04177388176321983,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium green triangle
36,"[' True', ' False', ' true', 'True', ' TRUE']", True,1,True,0.9768746495246887,0.02279510721564293,0.9771974086761475,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium blue circle
37,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.04619631543755531,0.9535995125770569,0.04620574787259102,hg112,gemma2b-tuned112-sparsed_primitivesor,False,large blue rectangle
38,"[' False', ' True', ' true', ' false', 'True']", False,1,False,0.45504578948020935,0.5446184873580933,0.45519858598709106,hg112,gemma2b-tuned112-sparsed_primitivesor,False,large green triangle
39,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.8461670875549316,0.15349769592285156,0.8464508056640625,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium green circle
40,"[' False', ' True', ' false', 'False', ' FALSE']", False,0,False,0.024142052978277206,0.9757183790206909,0.024145424365997314,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium green triangle
41,"[' False', ' True', ' false', ' true', 'True']", False,1,False,0.495932936668396,0.5037427544593811,0.4960938096046448,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium yellow rectangle
42,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.7804509401321411,0.21927806735038757,0.780662477016449,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium blue triangle
43,"[' False', ' True', ' false', 'False', ' FALSE']", False,0,False,0.0164010152220726,0.9834760427474976,0.01640303246676922,hg112,gemma2b-tuned112-sparsed_primitivesor,True,large blue rectangle
44,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.1955455243587494,0.8042061924934387,0.19559408724308014,hg112,gemma2b-tuned112-sparsed_primitivesor,True,large blue rectangle
45,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.8742352724075317,0.12545451521873474,0.8745065331459045,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium yellow rectangle
46,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.9667747616767883,0.032952241599559784,0.9670387506484985,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium blue triangle
47,"[' False', ' True', ' false', 'False', 'True']", False,0,False,0.2179548293352127,0.7818254828453064,0.21800272166728973,hg112,gemma2b-tuned112-sparsed_primitivesor,False,small blue rectangle
48,"[' True', ' False', ' true', 'True', ' TRUE']", True,1,True,0.9705824255943298,0.029080964624881744,0.9709092378616333,hg112,gemma2b-tuned112-sparsed_primitivesor,True,large green circle
49,"[' False', ' True', ' false', ' true', 'False']", False,0,False,0.42621055245399475,0.5735290050506592,0.4263215959072113,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium yellow rectangle
50,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.032337795943021774,0.967460036277771,0.032344333827495575,hg112,gemma2b-tuned112-sparsed_primitivesor,False,small yellow triangle
51,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.9002272486686707,0.09943678975105286,0.9005297422409058,hg112,gemma2b-tuned112-sparsed_primitivesor,True,small yellow circle
52,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.1841333508491516,0.8156142234802246,0.18417984247207642,hg112,gemma2b-tuned112-sparsed_primitivesor,False,large yellow rectangle
53,"[' True', ' False', ' true', 'True', ' TRUE']", True,1,True,0.9787099361419678,0.021039288491010666,0.9789553880691528,hg112,gemma2b-tuned112-sparsed_primitivesor,False,large green circle
54,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.9179323315620422,0.08178999274969101,0.9181873202323914,hg112,gemma2b-tuned112-sparsed_primitivesor,False,small green circle
55,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.7437037825584412,0.2560151219367981,0.7439128756523132,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium blue circle
56,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.790934145450592,0.208759605884552,0.791176438331604,hg112,gemma2b-tuned112-sparsed_primitivesor,True,large yellow circle
57,"[' True', ' False', ' true', 'True', ' false']", True,0,True,0.9216690063476562,0.07805676013231277,0.9219218492507935,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium blue circle
58,"[' False', ' True', ' false', 'False', ' FALSE']", False,0,False,0.015185614116489887,0.9845882058143616,0.015189049765467644,hg112,gemma2b-tuned112-sparsed_primitivesor,False,small yellow triangle
59,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.7992042303085327,0.20049795508384705,0.7994422912597656,hg112,gemma2b-tuned112-sparsed_primitivesor,True,large green circle
60,"[' False', ' True', ' false', 'False', ' FALSE']", False,0,False,0.020172862336039543,0.9796062111854553,0.020177321508526802,hg112,gemma2b-tuned112-sparsed_primitivesor,False,small yellow rectangle
61,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.026349211111664772,0.9734176993370056,0.026355354115366936,hg112,gemma2b-tuned112-sparsed_primitivesor,False,small yellow triangle
62,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.9037288427352905,0.09599938988685608,0.9039745330810547,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium blue circle
63,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.9040554761886597,0.09565968811511993,0.9043130874633789,hg112,gemma2b-tuned112-sparsed_primitivesor,False,large green circle
64,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.15761473774909973,0.8421304821968079,0.15765489637851715,hg112,gemma2b-tuned112-sparsed_primitivesor,False,large blue triangle
65,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.836280882358551,0.16339197754859924,0.8365545272827148,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium blue triangle
66,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.14557166397571564,0.8542293310165405,0.14560064673423767,hg112,gemma2b-tuned112-sparsed_primitivesor,True,medium yellow triangle
67,"[' False', ' True', ' false', 'False', ' true']", False,0,False,0.1293729692697525,0.8703970313072205,0.12940272688865662,hg112,gemma2b-tuned112-sparsed_primitivesor,True,large blue triangle
68,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.9044095277786255,0.0953240618109703,0.9046505689620972,hg112,gemma2b-tuned112-sparsed_primitivesor,False,large yellow circle
69,"[' True', ' False', 'True', ' true', ' false']", True,1,True,0.6599941253662109,0.33973586559295654,0.6601724028587341,hg112,gemma2b-tuned112-sparsed_primitivesor,True,small yellow circle
70,"[' True', ' False', ' true', 'True', ' false']", True,1,True,0.6186152696609497,0.3811178207397461,0.6187804341316223,hg112,gemma2b-tuned112-sparsed_primitivesor,True,large blue circle
71,"[' False', ' True', ' false', 'False', 'True']", False,0,False,0.3216009736061096,0.6781749725341797,0.32167303562164307,hg112,gemma2b-tuned112-sparsed_primitivesor,False,medium yellow rectangle
